"cces_year","topic","q_code_common","q_code","q_label","wording"
2006,NA,"case_id","v1000","Respondent ID","Case ID"
2006,"environment","enviro_scale","v2092","Opposition scale to climate change (1 = serious problem, 5 = not occuring)","From what you know about global climate change or global warming, which one of the following statements comes closest to your opinion? [1 Global climate change has been established as a serious problem, and immediate action is necessary. 2 There is enough evidence that climate change is taking place and some action should be taken. 3 We don't know enough about global climate change, and more research is necessary before we take any actions. 4 Concern about global climate change is unwarranted.]"
2006,"miscellaneous","gaymarriage_scale","v2103","Opposition scale to gay marriage (1=Strongly support, 4=Strongly oppose)","President Bush recently spoke out in favor of a Constitutional Amendment defining marriage as strictly between a man and a woman. Do you support or oppose a Constitutional amendment banning gay marriage?"
2006,"abortion","abortion_scale","v3019","Support scale for access to abortion (1 = Never permit, 4 = Always allow)","There has been some discussion about abortion during recent years.  Which one of the opinions on this page best agrees with your view on this issue? [1 By law, abortion should never be permitted, 2 The law should permit abortion only in case of rape, incest or when the woman's life is in danger, 3 The law should permit abortion for reasons other than rape, incest, or danger to the woman's  life, but only after the need for the abortion has been clearly established, 4 By law, a woman should always be able to  obtain an abortion as a matter of personal choice]"
2006,"environment","enviro_vs_jobs","v3022","Preference scale between environmental protection and job availability (1=Environmental protection, 5=Job protection)","Some people think it is important to protect the environment even if it costs some jobs or otherwise reduces our standard of living. Other people think that protecting the environment is not as important as maintaining jobs and our standard of living.  Which is closer to the way you feel, or haven't you thought much about this?"
2006,"miscellaneous","affirmativeaction_scale","v3027","Opposition scale to affirmative action (1 = Strongly support, 7 = Strongly oppose)","Some people think that if a company has a history of discriminating against blacks when making hiring decisions, then they should be required to have an affirmative action program that gives blacks preference in hiring.    What do you think? Should companies that have discriminated against blacks have to have an affirmative action program?"
2006,"military","military_oil","v3029","Approve of military ensuring oil supply","For each of the following reasons, would you approve of the use of U.S. military troops? Please check all that apply: Military use to ensure the supply of oil"
2006,"military","military_terroristcamp","v3030","Approve of military to destroy terrorist camp","For each of the following reasons, would you approve of the use of U.S. military troops? Please check all that apply: Military use to destroy a Terrorist camp"
2006,"military","military_genocide","v3031","Approve of military to intervene in genocide or civil war","For each of the following reasons, would you approve of the use of U.S. military troops? Please check all that apply: Military use to intervene in Genocide or Civil War"
2006,"military","military_democracy","v3032","Approve of military to assist in spread democracy","For each of the following reasons, would you approve of the use of U.S. military troops? Please check all that apply: Military use to Spread democracy"
2006,"military","military_protectallies","v3033","Approve of military to protect US allies under attack","For each of the following reasons, would you approve of the use of U.S. military troops? Please check all that apply: Military use to Protect American Allies"
2006,"military","military_helpun","v3034","Approve of military to help the United Nations uphold international law","For each of the following reasons, would you approve of the use of U.S. military troops? Please check all that apply: Military use to Help the United Nations"
2006,"spending","spending_vs_tax","v4040","Preference scale from 0 (increasing taxes) to 100 (spending cuts on education, health care, welfare and construction)","If your state were to have a budget deficit this year it would have to raise taxes on income or sales or cut spending, such as on education, health care, welfare, and road construction. What would you prefer more raising taxes or cutting spending? Choose a point along the scale from 100 percent tax increases (and no spending cuts) to 100 percent spending cuts (and 0 percent no tax increases). The point in the middle means that any the budget should be balanced with equal amounts of spending cuts and tax increases.  If you are not sure, or don't know, please check here: [dk]"
2006,"miscellaneous","incometax_vs_salestax","v4042","Preference scale from 0 (increase income tax) to 100 (increase sales tax)","If the state had to raise taxes, which taxes should it increase? Suppose that your state government has to raise some combination of sales taxes and individual income taxes in the coming year. What share of the tax increase should come from increased income taxes and what share from increased sales taxes? Choose a point along the scale from 100 percent from sales (and none from income) to 100 percent from income (and none from sales). The point in the middle means that any increase in taxes should come equally from sales and income taxes.  If you are not sure, or don't know, please check here: [dk]"
2006,"spending","spending_cuts_most","v4044","Most preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)","What would you most prefer that Congress do - cut domestic spending, cut military spending, raise taxes, or borrow funds?"
2006,"spending","spending_cuts_least","v4046","Least preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)","What do you least want Congress to do?"
2007,NA,"case_id","caseid","Respondent ID","Case ID"
2007,"environment","enviro_scale","CC06_V2092","Opposition scale to climate change (1 = serious problem, 5 = not occuring)","From what you know about global climate change or global warming, which one of the following statements comes closest to your opinion? [1 Immediate action, 2 Some action, 3 More research, 4 Concern unwarranted]"
2007,"miscellaneous","gaymarriage_scale","CC06_V2103","Opposition scale to gay marriage (1=Strongly support, 4=Strongly oppose)","President Bush recently spoke out in favor of a Constitutional Amendment defining marriage as strictly between a man and a woman. Do you support or oppose a Constitutional amendment banning gay marriage?"
2007,"abortion","abortion_scale","CC06_V3019","Support scale for access to abortion (1 = Never permit, 4 = Always allow)","There has been some discussion about abortion during recent years. Which one of the opinions on this page best agrees with your view on this issue? [1 By law, abortion should never be permitted, 2 The law should permit abortion only in case of rape, incest, 3 The law should permit abortion for reasons other than rape, 4 By law, a woman should always be able to obtain an abortion]"
2007,"environment","enviro_vs_jobs","CC06_V3022","Preference scale between environmental protection and job availability (1=Environmental protection, 5=Job protection)","Some people think it is important to protect the environment even if it costs some jobs or otherwise reduces our standard of living. Other people think that protecting the environment is not as important as maintaining jobs and our standard of living. Which is closer to the way you feel, or haven't you thought much about this?"
2007,"miscellaneous","affirmativeaction_scale","CC06_V3027","Opposition scale to affirmative action (1 = Strongly support, 7 = Strongly oppose)","Some people think that if a company has a history of discriminating against blacks when making hiring decisions, then they should be required to have an affirmative action program that gives blacks preference in hiring. What do you think? Should companies that have discriminated against blacks have to have an affirmative action program?"
2007,"military","military_oil","CC06_V3029","Approve of military ensuring oil supply","For each of the following reasons, would you approve of the use of U.S. military troops? Please check all that apply: To nsure the supply of oil"
2007,"military","military_terroristcamp","CC06_V3030","Approve of military to destroy terrorist camp","For each of the following reasons, would you approve of the use of U.S. military troops? Please check all that apply: Destroy a terrorist camp"
2007,"military","military_genocide","CC06_V3031","Approve of military to intervene in genocide or civil war","For each of the following reasons, would you approve of the use of U.S. military troops? Please check all that apply: Intervene in a region where there is genocide or a civil war"
2007,"military","military_democracy","CC06_V3032","Approve of military to assist in spread democracy","For each of the following reasons, would you approve of the use of U.S. military troops? Please check all that apply: Spread of democracy"
2007,"military","military_protectallies","CC06_V3033","Approve of military to protect US allies under attack","For each of the following reasons, would you approve of the use of U.S. military troops? Please check all that apply: Protect American allies"
2007,"military","military_helpun","CC06_V3034","Approve of military to help the United Nations uphold international law","For each of the following reasons, would you approve of the use of U.S. military troops? Please check all that apply: To help the United Nations uphold international law"
2007,"spending","spending_vs_tax","CC06_V4040","Preference scale from 0 (increasing taxes) to 100 (spending cuts on education, health care, welfare and construction)","If your state were to have a budget deficit this year it would have to raise taxes on income or sales or cut spending, such as on education, health care, welfare, and road construction. What would you prefer more raising taxes or cutting spending? Choose a point along the scale from 100 percent tax increases (and no spending cuts) to 100 percent spending cuts (and 0 percent no tax increases). The point in the middle means that any the budget should be balanced with equal amounts of spending cuts and tax increases."
2007,"miscellaneous","incometax_vs_salestax","CC06_V4042","Preference scale from 0 (increase income tax) to 100 (increase sales tax)","If the state had to raise taxes, which taxes should it increase? Suppose that your state government has to raise some combination of sales taxes and individual income taxes in the coming year. What share of the tax increase should come from increased income taxes and what share from increased sales taxes? Choose a point along the scale from 100 percent from sales (and none from income) to 100 percent from income (and none from sales). The point in the middle means that any increase in taxes should come equally from sales and income taxes."
2007,"spending","spending_cuts_most","CC06_V4044","Most preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)","What would you most prefer that Congress do - cut domestic spending, cut military spending, raise taxes, or borrow funds?"
2007,"spending","spending_cuts_least","CC06_V4046","Least preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)","Should Congress cut spending, raise taxes, or borrow... What do you least want Congress to do?"
2007,"immigration","immig_employer","CC12x_1","Sanction employers hiring undocumented","What do you think Congress and the President should do about immigration? Select all that apply. Fine US businesses that hire illegal immigrants."
2007,"immigration","immig_legalize","CC12x_2","Grant conditional legal status to undocumented","What do you think Congress and the President should do about immigration? Select all that apply. Grant legal status to all illegal immigrants who have held jobs and paid taxes for at least 3 years, and not been convicted of any felony crimes."
2007,"immigration","immig_border","CC12x_4","Increase border security between US-Mexico","What do you think Congress and the President should do about immigration? Select all that apply. Increase the number of border patrol on the US-Mexican border."
2008,"spending","spending_cuts_most","cc309","Most preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)","What would you most prefer that Congress do - cut domestic spending, cut military spending, or raise taxes?"
2008,"abortion","abortion_scale","cc310","Support scale for access to abortion (1 = Never permit, 4 = Always allow)","Which one of the opinions on this page best agrees with your view on abortion? [1 By law, abortion should never be permitted, 2 The law should permit abortion only in case of rape, incest or when the womans life is in danger, 3 The law should permit abortion for reasons other than rape, incest, or danger to the womans life, but only after the need for the abortion has been clearly established, 4 By law, a woman should always be able to obtain an abortion as a matter of personal choice]"
2008,"spending","spending_cuts_least","cc310a","Least preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)","What do you least want Congress to do?"
2008,"environment","enviro_vs_jobs","cc311","Preference scale between environmental protection and job availability (1=Environmental protection, 5=Job protection)","Some people think it is important to protect the environment even if it costs some jobs or otherwise reduces our standard of living. Other people think that protecting the environment is not as important as maintaining jobs and our standard of living. Which is closer to the way you feel, or haven't you thought much about this?"
2008,"miscellaneous","affirmativeaction","cc313","Opposition to affirmative action (1 = Support, 4 = Oppose)","Affirmative action programs give preference to racial minorities and to women in employment and college admissions in order to correct for discrimination. Do you support or oppose affirmative action?"
2008,"miscellaneous","gaymarriage","cc316f","Opposition to gay marriage","Constitutional Amendment banning Gay Marriage"
2008,"military","military_oil","cc418_1","Approve of military ensuring oil supply","Would you approve of the use of U.S. military troops in order to...? Ensure the supply of oil"
2008,"military","military_terroristcamp","cc418_2","Approve of military to destroy terrorist camp","Would you approve of the use of U.S. military troops in order to...? Destroy a terrorist camp"
2008,"military","military_genocide","cc418_3","Approve of military to intervene in genocide or civil war","Would you approve of the use of U.S. military troops in order to...? Intervene in a region where there is genocide or a civil war"
2008,"military","military_democracy","cc418_4","Approve of military to assist in spread democracy","Would you approve of the use of U.S. military troops in order to...? Assist the spread of democracy"
2008,"military","military_protectallies","cc418_5","Approve of military to protect US allies under attack","Would you approve of the use of U.S. military troops in order to...? Protect American allies under attack by foreign nations"
2008,"military","military_helpun","cc418_6","Approve of military to help the United Nations uphold international law","Would you approve of the use of U.S. military troops in order to...? Help the United Nations uphold international law"
2008,"spending","spending_vs_tax","cc420","Preference scale from 0 (increasing taxes) to 100 (spending cuts on education, health care, welfare and construction)","If your state were to have a budget deficit this year it would have to raise taxes on income or sales or cut spending, such as on education, health care, welfare, and road construction. What would you prefer more, raising taxes or cutting spending? Choose a point along the scale from 100 percent tax increases (and no spending cuts) to 100 percent spending cuts (and no tax increases). The point in the middle means that the budget should be balanced with equal amounts of spending cuts and tax increases.  If you are not sure, or don't know, please check the box below... Values in range 0 to 100"
2008,"miscellaneous","incometax_vs_salestax","cc421","Preference scale from 0 (increase income tax) to 100 (increase sales tax)","If the state had to raise taxes, what share of the tax increase should come from increased income taxes and what share from increased sales taxes? Choose a point along the scale from 100 percent from sales (and none from income) to 100 percent from income (and none from sales). The point in the middle means that any increase in taxes should come equally from sales and income taxes.  If you are not sure, or don't know, please check the box below... Values in range 0 to 100"
2008,NA,"case_id","v100","Respondent ID","Case ID"
2009,"environment","enviro_scale","cc09_51","Opposition scale to climate change (1 = serious problem, 5 = not occuring)","Global Warming"
2009,"abortion","abortion_scale","cc09_53","Support scale for access to abortion (1 = Never permit, 4 = Always allow)","Abortion"
2009,"miscellaneous","gaymarriage","cc09_54","Opposition to gay marriage","Gay Marriage"
2009,"miscellaneous","affirmativeaction","cc09_55","Opposition to affirmative action (1 = Support, 4 = Oppose)","Affirmative Action"
2009,NA,"case_id","v100","Respondent ID","Case ID"
2010,"guns","guns_scale","CC320","Restriction scale on gun sales (1 = More strict, 2 = Less strict, 3 = Same)","In general, do you feel that the laws covering the sale of firearms should be made more strict, less strict, or kept as they are?"
2010,"environment","enviro_scale","CC321","Opposition scale to climate change (1 = serious problem, 5 = not occuring)","From what you know about global climate change or global warming, which one of the following statements comes closest to your opinion? [1 Global climate change has been established as a serious problem, and immediate action is necessary. 2 here is enough evidence that climate change is taking place and some action should be taken. 3 We don’t know enough about global climate change, and more research is necessary before taking any actions. 4 Concern about global climate change is exaggerated. No action is necessary. 5 Global climate change is not occurring; this is not a real issue.]"
2010,"immigration","immig_employer","CC322_1","Sanction employers hiring undocumented","What do you think the U.S. government should do about immigration? Select all that apply. Fine Businesses"
2010,"immigration","immig_legalize","CC322_2","Grant conditional legal status to undocumented","What do you think the U.S. government should do about immigration? Select all that apply. Grant legal status to all illegal immigrants who have held jobs and paid taxes for at least 3 years, and not been convicted of any felony crimes."
2010,"immigration","immig_border","CC322_4","Increase border security between US-Mexico","What do you think the U.S. government should do about immigration? Select all that apply. Increase the number of border patrols on the US-Mexican border."
2010,"immigration","immig_police","CC322_5","Allow police questioning of suspected undocumented","What do you think the U.S. government should do about immigration? Select all that apply. Allow police to question anyone they think may be in the country illegally."
2010,"abortion","abortion_scale","CC324","Support scale for access to abortion (1 = Never permit, 4 = Always allow)","Which one of the opinions on this page best agrees with your view on abortion? [1 By law, abortion should never be permitted, 2 The law should permit abortion only in case of rape, incest or when the womans life is in danger, 3 The law should permit abortion for reasons other than rape, incest, or danger to the womans life, but only after the need for the abortion has been clearly established, 4 By law, a woman should always be able to obtain an abortion as a matter of personal choice]"
2010,"environment","enviro_vs_jobs","CC325","Preference scale between environmental protection and job availability (1=Environmental protection, 5=Job protection)","Some people think it is important to protect the environment even if it costs some jobs or otherwise reduces our standard of living. Other people think that protecting the environment is not as important as maintaining jobs and our standard of living. Which is closer to the way you feel, or haven't you thought much about this?"
2010,"miscellaneous","gaymarriage","CC326","Opposition to gay marriage","Do you support a Constitutional Amendment banning Gay Marriage?"
2010,"miscellaneous","affirmativeaction","CC327","Opposition to affirmative action (1 = Support, 4 = Oppose)","Affirmative action programs give preference to racial minorities in employment and college admissions in order to correct for past discrimination. Do you support or oppose affirmative action?"
2010,"spending","spending_cuts_most","CC328","Most preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)","The federal budget is approximately 600 billion this year. If the Congress were to balance the budget it would have to consider cutting defense spending, cutting domestic spending (such as Medicare or Social Security), or raising taxes to cover the deficit. What would you most prefer that Congress do - cut domestic spending, cut defense spending, or raise taxes?"
2010,"spending","spending_cuts_least","CC329","Least preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)","The federal budget is approximately 600 billion this year. If the Congress were to balance the budget it would have to consider cutting defense spending, cutting domestic spending (such as Medicare or Social Security), or raising taxes to cover the deficit. What do you least want Congress to do?"
2010,"military","military_oil","CC414_1","Approve of military ensuring oil supply","Would you approve of the use of U.S. military troops in order to...? Ensure the supply of oil"
2010,"military","military_terroristcamp","CC414_2","Approve of military to destroy terrorist camp","Would you approve of the use of U.S. military troops in order to...? Destroy a terrorist camp"
2010,"military","military_genocide","CC414_3","Approve of military to intervene in genocide or civil war","Would you approve of the use of U.S. military troops in order to...? Intervene in a region where there is genocide or a civil war"
2010,"military","military_democracy","CC414_4","Approve of military to assist in spread democracy","Would you approve of the use of U.S. military troops in order to...? Assist the spread of democracy"
2010,"military","military_protectallies","CC414_5","Approve of military to protect US allies under attack","Would you approve of the use of U.S. military troops in order to...? Protect American allies under attack by foreign nations"
2010,"military","military_helpun","CC414_6","Approve of military to help the United Nations uphold international law","Would you approve of the use of U.S. military troops in order to...? Help the United Nations uphold international law"
2010,"spending","spending_vs_tax","CC415r","Preference scale from 0 (increasing taxes) to 100 (spending cuts on education, health care, welfare and construction)","If your state were to have a budget deficit this year it would have to raise taxes on income or sales or cut spending, such as on education, health care, welfare, and road construction. What would you prefer more, raising taxes or cutting spending? Choose a point along the scale from 100 percent tax increases (and no spending cuts) to 100 percent spending cuts (and no tax increases). The point in the middle means that the budget should be balanced with equal amounts of spending cuts and tax increases. If you are not sure, or don't know, please check the box below Values in range 0 to 100"
2010,"miscellaneous","incometax_vs_salestax","CC416r","Preference scale from 0 (increase income tax) to 100 (increase sales tax)","If the state had to raise taxes, what share of the tax increase should come from increased income taxes and what share from increased sales taxes? Choose a point along the scale from 100 percent from sales (and none from income) to 100 percent from income (and none from sales). The point in the middle means that any increase in taxes should come equally from sales and income taxes. If you are not sure, or don't know, please check the box below Values in range 0 to 100"
2010,NA,"case_id","V100","Respondent ID","Case ID"
2011,"environment","enviro_scale","CC350","Opposition scale to climate change (1 = serious problem, 5 = not occuring)","Climate"
2011,"immigration","immig_legalize","CC351_1","Grant conditional legal status to undocumented","Immigration - Amnesty for long term residents"
2011,"immigration","immig_border","CC351_2","Increase border security between US-Mexico","Immigration - Increase border presence"
2011,"immigration","immig_police","CC351_3","Allow police questioning of suspected undocumented","Immigration - Police question those reasonably suspected of being illegal"
2011,"abortion","abortion_scale","CC352","Support scale for access to abortion (1 = Never permit, 4 = Always allow)","Abortion"
2011,"miscellaneous","gaymarriage","CC353","Opposition to gay marriage","Gay Marriage"
2011,"miscellaneous","affirmativeaction","CC354","Opposition to affirmative action (1 = Support, 4 = Oppose)","Affirmative Action"
2011,"spending","spending_cuts_most","CC355a","Most preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)","Budget Balance 1"
2011,"spending","spending_cuts_least","CC355b","Least preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)","Budget Balance 2"
2011,"military","military_oil","CC356_1","Approve of military ensuring oil supply","Ensure the supply of oil"
2011,"military","military_terroristcamp","CC356_2","Approve of military to destroy terrorist camp","Destroy a terrorist camp"
2011,"military","military_genocide","CC356_3","Approve of military to intervene in genocide or civil war","Intervene in a region where there is genocide or a civil war"
2011,"military","military_democracy","CC356_4","Approve of military to assist in spread democracy","Assist the spread of democracy"
2011,"military","military_protectallies","CC356_5","Approve of military to protect US allies under attack","Protect American allies under attack by foreign nations"
2011,"military","military_helpun","CC356_6","Approve of military to help the United Nations uphold international law","Help the United Nations uphold international law"
2011,"spending","spending_vs_tax","CC357","Preference scale from 0 (increasing taxes) to 100 (spending cuts on education, health care, welfare and construction)","Raise Taxes or Cut Spending Rule"
2011,"miscellaneous","incometax_vs_salestax","CC358","Preference scale from 0 (increase income tax) to 100 (increase sales tax)","Income vs Sales Tax Rule"
2011,NA,"case_id","V100","Respondent ID","Case ID"
2012,"guns","guns_scale","CC320","Restriction scale on gun sales (1 = More strict, 2 = Less strict, 3 = Same)","In general, do you feel that the laws covering the sale of firearms should be... [1 More Strict, 2 Less Strict, 3 Kept As They Are]"
